Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_FPKM;ZT3_FPKM;ZT6_FPKM;ZT9_FPKM;ZT12_FPKM;ZT15_FPKM;ZT18_FPKM;ZT21_FPKM;ZT24_FPKM;ZT27_FPKM;ZT30_FPKM;ZT33_FPKM;ZT36_FPKM;ZT39_FPKM;ZT42_FPKM;ZT45_FPKM
Tymp;0.0000415525350421184;7.47347752556086E-09;23.1;4.05;30.979125901242;45.7629;63.2953;51.5988;40.7457;19.4842;11.9257;15.9429;30.9562;42.7769;53.3671;49.7324;37.4939;20.4592;10.8514;17.4403;39.809
Cry1;0.0000415525350421184;7.47347752556086E-09;23.1;20.1;5.87335620375608;10.3917;7.20387;2.3288;1.8246;3.77276;7.99951;14.0782;17.3174;12.5525;5.58672;3.06393;1.85776;3.3757;9.77122;14.9598;15.1062
Chka;0.000108157874361578;2.91792826515049E-08;23.1;0;11.1580247989709;45.6272;29.911;11.6271;4.34354;3.13083;11.0269;16.4626;22.3865;33.5237;28.3792;14.7543;4.4407;3.54564;11.5867;17.5815;29.2747
St3gal5;0.000183918983108798;9.92368613896392E-08;23.1;15.6;36.9439958646192;32.4058;23.8827;22.5364;39.0616;88.9596;127.398;74.7831;44.5603;28.864;21.7386;25.7963;54.707;75.334;154.539;59.2516;42.8443
Amt;0.000183918983108798;9.92368613896392E-08;23.1;4.05;11.7833688230489;24.3536;31.8641;29.6958;26.3245;15.1999;10.7294;14.8494;22.5024;28.8256;34.9772;24.2684;23.1896;12.6046;9.56206;16.9487;23.3598
Adora1;0.000183918983108798;9.92368613896392E-08;23.1;10.05;1.98845497937469;1.97594;2.83876;4.94133;5.9104;5.54999;4.72965;3.0983;2.304;2.36374;3.31657;6.02786;6.82596;5.43432;3.82546;2.74574;2.17105
Rorc;0.000419512630341623;3.01807647727787E-07;23.1;18.6;20.8591550702563;48.1223;27.5079;18.623;21.7824;34.1602;55.2129;73.4342;87.8302;46.7587;27.9105;17.9852;16.7922;35.9898;59.7062;75.9538;72.0879
Dnmt3b;0.000419512630341623;3.01807647727787E-07;23.1;0;0.55901698373858;2.05614;1.05595;0.455211;0.0992806;0.197911;0.340209;0.88985;1.20762;1.30701;0.934439;0.820226;0.260564;0.203849;0.532467;0.855653;1.1029
Atf5;0.000664379769352488;8.36449349904211E-07;23.1;2.55;93.289658302113;202.883;240.805;202.153;133.539;80.3471;70.2215;92.5284;149.282;205.189;176.858;147.051;131.133;74.6322;58.4774;110.307;191.894
Abcg5;0.000664379769352488;8.36449349904211E-07;23.1;11.55;17.7450568059108;15.1306;17.5898;28.8556;44.5403;53.7115;40.2259;21.7212;14.0271;14.6151;22.2691;27.5743;48.5245;52.8737;35.9825;18.757;13.0193
Smagp;0.000664379769352488;8.36449349904211E-07;23.1;2.55;17.4842051143311;43.3215;59.1632;45.7446;31.0421;20.8063;18.5951;22.4759;34.4631;46.9555;48.6645;43.8788;33.0742;23.7386;19.356;23.8016;41.9083
