GI;ID;Gene.Symbol;BH.Q;ADJ.P;PER;LAG;AMP;ZT0_zsocred_iBAQ;ZT3_zscore_iBAQ;ZT6_zsocred_iBAQ;ZT9_zscore_iBAQ;ZT12_zsocred_iBAQ;ZT15_zscore_iBAQ;ZT18_zsocred_iBAQ;ZT21_zscore_iBAQ;ZT24_zsocred_iBAQ;ZT27_zscore_iBAQ;ZT30_zsocred_iBAQ;ZT33_zscore_iBAQ;ZT36_zsocred_iBAQ;ZT39_zscore_iBAQ;ZT42_zsocred_iBAQ;ZT45_zscore_iBAQ
gi10946822;GeneID:58520;0610007P14Rik;1;1;25.8;15.3;0.678632139;0.018784672;-0.184601504;-2.048121916;0.905265435;1.061165925;0.407867341;-0.648499423;0.48813947;-0.284677958;0.496912598;-1.59091852;0.347107957;0.149690987;1.871055135;-0.431153608;-0.558016591
gi255003700;GeneID:68327;0610007P22Rik;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391
gi13384692;GeneID:66055;0610009D07Rik;1;0.070160199;22.8;8.4;0.62620851;0.241198877;-0.641553107;-0.606451879;1.66916622;1.292350443;-0.114583421;-0.920063567;-0.920063567;0.628964555;-0.034470999;1.850272484;-0.170538926;0.539784094;-0.555290913;-1.129360147;-1.129360147
gi294862282;GeneID:104457;0610010K14Rik;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391
gi58037115;GeneID:68347;0610011F06Rik;1;0.866497296;19.8;12.3;1.073385137;0.053010006;-0.967388794;-1.323914588;1.137818353;1.094891284;0.998049633;-0.092138806;-0.900327087;-0.928375897;-0.423924727;1.812241228;-1.408839371;0.238826923;0.090116943;-0.154795599;0.774750499
gi258679443;GeneID:68295;0610011L14Rik;1;0.133460969;25.8;15.3;1.29264936;-0.898722228;-0.898722228;-0.898722228;-0.898722228;0.929360028;1.300238292;1.058713475;0.306577117;-0.890617946;0.631666454;-0.890617946;0.518878921;-0.890617946;1.559704886;-0.890617946;0.852221523
gi227452353;GeneID:74088;0610012H03Rik;1;1;19.8;8.4;2.22045E-16;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391
gi9910458;GeneID:56700;0610031J06Rik;1;0.133460969;22.8;16.8;0.808603996;-0.336723619;1.339408311;-1.220557969;-1.593035984;0.39375321;0.658474988;0.686462495;0.072218568;-1.426206881;0.580605198;-1.637179424;0.152841177;0.486473858;1.092416904;0.701902977;0.049146191
gi21539639;GeneID:74098;0610037L13Rik;1;1;19.8;5.4;0.69359294;-1.96398012;0.453860005;1.092046427;0.205645557;-0.589433421;0.353179548;-0.527028538;0.975710541;-1.442661534;0.07299408;1.187864669;0.412981356;-0.6954426;0.894465445;-1.203932852;0.773731437
gi124487393;GeneID:66096;0910001L09Rik;1;0.059987821;22.8;19.8;0.895018387;1.074909877;-0.995388931;-0.193865846;-1.895132655;0.696059181;0.109194035;0.641849041;0.562375297;1.004762394;-1.488641834;0.392743343;-1.488641834;-0.016113387;0.211330328;1.139869291;0.244691701
gi34304022;GeneID:66107;1100001G20Rik;1;1;19.8;6.9;0.701761337;-0.538695366;-0.538695366;1.483091234;1.749080961;-0.538695366;-0.538695366;-0.538695366;-0.538695366;0.795140461;-0.500195465;-0.500195465;-0.500195465;2.206032327;-0.500195465;-0.500195465;-0.500195465
gi13384728;GeneID:66117;1110001J03Rik;1;1;25.8;5.4;0.517572414;0.473145353;0.115097385;-0.784357138;1.922659526;-1.356492653;0.480819536;-0.331098946;-0.519773064;-1.086845786;0.329240511;2.008793596;0.030515375;-0.540297941;0.575807443;-0.961247182;-0.355966016
gi134053922;GeneID:68550;1110002N22Rik;1;1;19.8;18.3;0.805065313;-0.332792542;1.341743943;-1.286504095;-1.471326826;-0.171525361;0.677699471;0.557239493;0.685465917;-0.871698122;1.67394252;-0.361032842;-1.265268117;-0.340278045;1.19378679;-0.302355141;0.272902958
gi9790217;GeneID:56372;1110004F10Rik;1;1;25.8;15.3;0.742629486;-1.981653437;-0.150436715;-0.537106177;0.494068652;-0.086431572;0.585593147;0.220321884;1.455644218;-1.446388521;1.390530927;-0.676041398;-0.573209321;1.043644622;0.463184424;-0.758394986;0.556674254
gi21312030;GeneID:68480;1110007C09Rik;1;0.180488019;25.8;2.4;0.499820409;-0.958747649;1.985327836;0.499288889;-0.958747649;0.146344394;-0.958747649;0.129516733;0.115765096;0.449188892;1.81134283;0.642492585;-1.190211411;0.170746111;-1.190211411;-0.376200782;-0.317146815
gi227908787;GeneID:66132;1110008L16Rik;1;0.536288358;25.8;19.8;0.639515525;-0.625987275;-0.625987275;-0.625987275;-0.625987275;-0.625987275;0.278424254;0.755823634;2.095688486;-0.741725345;-0.741725345;1.238568396;-0.741725345;-0.741725345;0.090312653;-0.159665137;1.797685469
gi124486662;GeneID:68505;1110014N23Rik;1;1;25.8;18.3;0.104314186;-0.391021428;-0.329445139;-0.426200271;-0.453994194;2.468714734;-0.345877076;-0.273194888;-0.248981737;-0.439745958;-0.234065419;-0.335879265;-0.332898477;2.468652666;-0.393468766;-0.439745958;-0.292848822
gi254939557;GeneID:68597;1110021J02Rik;1;0.318262216;22.8;2.4;0.932487435;0.47664726;1.800811111;0.123596726;-0.923150576;-0.685223442;0.815801715;-1.146097759;-0.462385034;1.569084661;0.378259288;1.102694023;-0.824954259;0.083408159;-1.458678935;-0.461082643;-0.388730293
gi13384786;GeneID:66179;1110031I02Rik;1;1;19.8;3.9;0.805621761;1.042220766;-0.627419423;2.051833763;-0.627419423;-0.627419423;-0.552525399;-0.320009079;-0.339261783;0.912512543;-0.701726522;1.939923077;-0.701726522;-0.701726522;-0.488222822;0.442693288;-0.701726522
gi124487145;GeneID:66185;1110037F02Rik;1;1;19.8;8.4;2.22045E-16;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-3.5;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391
gi158854007;GeneID:66193;1110049F12Rik;1;0.180488019;25.8;24.3;0.623003284;0.736768973;-0.877057269;-1.049089037;0.008022159;-0.773665737;-0.104316254;1.993363174;0.065973991;2.077463479;0.471169494;-0.1925651;-0.269981613;-1.098211115;-0.377129781;-0.944658978;0.333913614
gi268370114;GeneID:68832;1110057K04Rik;1;1;25.8;18.3;0.719706969;-0.095365868;0.733550313;-0.963476968;-1.793479467;0.852354881;0.005693966;1.257537837;0.003185307;0.789772291;1.241671822;1.021014647;-0.768615185;-0.475717719;0.106711984;-1.709174808;-0.205663032
gi229577372;GeneID:68002;1110058L19Rik;1;1;0;0;0;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;-0.353553391;2.474873734
gi29611654;GeneID:216551;1110067D22Rik;1;0.536288358;25.8;5.4;0.507759426;0.990962415;-0.794133525;-0.175412783;2.011792164;-0.491265714;-0.101525269;-0.820751465;-0.619665822;-0.533318583;0.336070704;1.041883322;1.406457168;-1.359849851;0.663477207;-0.634156557;-0.920563408
gi115392140;GeneID:68861;1190002N15Rik;1;0.318262216;25.8;21.3;0.824382534;0.714578743;-0.896275533;-0.450325804;-0.896275533;-0.036245428;0.579438971;-0.896275533;1.881380117;1.517404276;-0.697424983;0.163429182;-0.697424983;-0.472803132;-0.697424983;-0.697413399;1.581658021
